company,year,sent_id,sentence,maintenance_and_repair,spare_parts_support,leasing_and_rental,warranty_and_insurance,installation_and_commissioning,technical_support,customization_and_r&d_services,distribution_and_procurement,training_and_consulting,solutions_system_integration,digital_and_streaming_services,performance_based_contracts,recycling_and_process_management
300316,2024,0,浙江晶盛机电股份有限公司 2024 年年度报告全文 浙江晶盛机电股份有限公司 2024 年年度报告 2025 年 4 月 1 浙江晶盛机电股份有限公司 2024 年年度报告全文 第一节 重要提示、目录和释义 公司董事会、监事会及董事、监事、高级管理人员保证年度报告内容的 真实、准确、完整，不存在虚假记载、误导性陈述或者重大遗漏，并承担个 别和连带的法律责任,0,0,0,0,0,0,0,0,0,0,0,0,0
300316,2024,1,公司负责人曹建伟、主管会计工作负责人陆晓雯及会计机构负责人(会计 主管人员)章文勇声明：保证本年度报告中财务报告的真实、准确、完整,0,0,0,0,0,0,0,0,0,0,0,0,0
300316,2024,2,所有董事均已出席了审议本报告的董事会会议,0,0,0,0,0,0,0,0,0,0,0,0,0
300316,2024,3,本报告中如有涉及公司未来计划等前瞻性陈述，均不构成公司对投资者 的实质承诺，投资者及相关人士均应当对此保持足够的风险认识，并且应当 理解计划、预测与承诺之间的差异,0,0,0,0,0,0,0,0,0,0,0,0,0
300316,2024,4,公司存在行业波动风险、市场竞争风险、技术研发风险、技术人员流失 风险以及订单履行风险，敬请广大投资者详细阅读本报告第三节“管理层讨论 与分析”之“（十一）公司未来发展的展望”,0,0,0,0,0,0,0,0,0,0,0,0,0
300316,2024,5,"公 司 经 本 次 董 事 会 审 议 通 过 的 利 润 分 配 预 案 为 ： 以 公 司 总 股 本 1,309,533,797 股扣除已回购股份 2,173,984 股后的 1,307,359,813 股为基数，向 全体股东每 10 股派发现金红利 4 元（含税），送红股 0 股（含税），以资本 公积金向全体股东每 10 股转增 0 股",0,0,0,0,0,0,0,0,0,0,0,0,0
300316,2024,6,2 浙江晶盛机电股份有限公司 2024 年年度报告全文 目录 第一节 重要提示、目录和释义 ...................................................................................................................... 2 第二节 公司简介和主要财务指标 ................................................................................................................. 7 第三节 管理层讨论与分析 ............................................................................................................................... 11 第四节 公司治理 ................................................................................................................................................. 37 第五节 环境和社会责任 ................................................................................................................................... 50 第六节 重要事项 ................................................................................................................................................. 51 第七节 股份变动及股东情况 .......................................................................................................................... 63 第八节 优先股相关情况 ................................................................................................................................... 69 第九节 债券相关情况 ........................................................................................................................................ 70 第十节 财务报告 ................................................................................................................................................. 71 3 浙江晶盛机电股份有限公司 2024 年年度报告全文 备查文件目录 （一）载有公司负责人、主管会计工作负责人、会计机构负责人（会计主管人员）签名并盖章的财务报表,0,0,0,0,0,0,0,0,0,0,0,0,0
300316,2024,7,（二）载有会计师事务所盖章、注册会计师签名并盖章的审计报告原件,0,0,0,0,0,0,0,0,0,0,0,0,0
300316,2024,8,（三）报告期内公开披露过的所有公司文件的正本及公告的原稿,0,0,0,0,0,0,0,0,0,0,0,0,0
300316,2024,9,"4 浙江晶盛机电股份有限公司 2024 年年度报告全文 释义 释义项 公司、本公司、晶 盛机电 晶盛投资 慧翔电液 晶环电子 晶瑞电子 晶信绿钻 晶鸿精密 中为光电 指 释义内容 指 浙江晶盛机电股份有限公司 指 绍兴上虞晶盛投资管理咨询有限公司，公司控股股东 指 杭州慧翔电液技术开发有限公司，公司控股子公司 指 内蒙古晶环电子材料有限公司，公司全资子公司 指 浙江晶瑞电子材料有限公司，公司全资子公司 指 浙江晶信绿钻科技有限公司，公司全资子公司 指 浙江晶鸿精密机械制造有限公司，公司全资子公司 指 杭州中为光电技术有限公司，公司全资子公司 晶创自动化 指 浙江晶创自动化设备有限公司，公司全资子公司 晶盛日本 普莱美特 美晶新材料 晶研半导体 求是半导体 盛欧机电 宁夏鑫晶盛 浙江科盛 宁夏晶创 晶盛星河 指 晶盛机电日本株式会社，公司全资子公司 指 普莱美特株式会社，公司控股孙公司 指 浙江美晶新材料股份有限公司，公司控股子公司 指 绍兴上虞晶研半导体材料有限公司，公司控股子公司 指 浙江求是半导体设备有限公司，公司全资子公司 指 内蒙古盛欧机电工程有限公司，公司全资孙公司 指 宁夏鑫晶盛电子材料有限公司，公司控股子公司 指 浙江科盛智能装备有限公司，公司全资子公司 指 宁夏晶创智能装备有限公司，公司全资子公司 指 浙江晶盛星河软件有限公司，公司全资子公司 绍兴普莱美特 指 绍兴普莱美特真空部件有限公司，公司控股孙公司 汉创智能 求是创芯 浙江晶钰 宁夏晶环 创盛新材料 宁夏鑫晶 晶诚新材料 宁夏晶钰 晶盛创芯 晶盛光子 《公司法》 《证券法》 指 杭州汉创智能装备有限公司，公司控股子公司 指 浙江求是创芯半导体设备有限公司，公司控股孙公司 指 浙江晶钰新材料有限公司，公司全资孙公司 指 宁夏晶环新材料科技有限公司，公司全资子公司 指 宁夏创盛新材料科技有限公司，公司全资孙公司 指 宁夏鑫晶新材料科技有限公司，公司控股孙公司 指 浙江晶诚新材料有限公司，公司全资子公司 指 宁夏晶钰新材料科技有限公司，公司全资子公司 指 浙江晶盛创芯半导体设备有限公司，公司全资子公司 指 浙江晶盛光子科技有限公司，公司控股子公司 指 《中华人民共和国公司法》 指 《中华人民共和国证券法》 《公司章程》 指 《浙江晶盛机电股份有限公司章程》 报告期 报告期期末 元 光伏效应、光伏 单晶硅生长炉 指 指 2024 年 1 月 1 日至 2024 年 12 月 31 日 2024 年 12 月 31 日 指 人民币元 指 指 物体由于吸收光子而产生电动势的现象，是当物体受光照时，物体内部的电荷分布状态发 生变化而产生电动势和电流的一种效应，全称光生伏打效应 在真空状态和惰性气体保护下，通过石墨电阻加热器将多晶硅原料加热熔化，然后用直拉 法生长单晶的设备，也称""单晶生长炉""或""单晶炉"" 5 浙江晶盛机电股份有限公司 2024 年年度报告全文 区熔炉 单晶硅棒 半导体单晶硅滚圆 机 半导体单晶硅截断 机 硅片研磨机 指 一种高纯单晶硅棒生长设备，用于悬浮区熔提纯与单晶生长，也称""硅单晶区熔炉""、""区熔 硅单晶炉"" 指 多晶硅原料熔化后，用直拉法或区熔法从熔体中生长出的棒状单晶硅 指 将半导体硅单晶棒进行外圆、槽口磨削，最终加工出满足一定尺寸精度和表面粗糙度要求 的半导体硅圆棒的全自动一体加工设备 将半导体硅单晶棒进行头尾截断、体部截断、截取样片，最终截断出满足一定尺寸精度和 表面粗糙度要求的半导体硅段料的全自动一体加工设备 指 使用磨料，对切割后的硅片表面进行机械式研磨的设备 指 减薄机 指 使用砂轮对硅片及芯片表面进行高精度研磨的设备 硅片抛光机 硅/碳化硅外延设 备 碳化硅生长炉 CVD EPI PECVD LPCVD MPCVD 指 使用抛光液通过化学反应和机械作用对硅片表面进行抛光的设备 指 指 指 指 指 指 应用化学气相沉积法在硅单晶或碳化硅衬底上沿其原来的晶向再生长一层同质或异质薄膜 的设备 采用物理气相传输法等生长方法，将固态的碳化硅原料升华分解为气态物质，并在籽晶上 生长出碳化硅单晶的设备 Chemical Vapor Deposition，化学气相沉积 Epitaxy，外延 Plasma Enhanced Chemical Vapor Deposition，等离子体增强化学气相沉积 Low Pressure Chemical Vapor Deposition，低压力化学气相沉积 指 Microwave plasma Chemical Vapor Deposition，微波等离子体化学气相沉积 环线截断机 指 环形金刚线开方机 指 单晶硅棒切磨复合 加工一体机 单晶滚圆磨面一体 机 金刚线切片机 石英坩埚 磁流体 使用环形金刚线将单晶棒进行头尾截断、体部截断、截取样片，最终截断出满足一定尺寸 精度和表面粗糙度要求的硅段料的全自动加工设备 使用环形金刚线将硅单晶棒切除四周边皮，最终加工出满足一定尺寸精度方棒全自动加工 设备 将硅单晶棒切除四周边皮，再将弧面和平面进行磨削，最终加工出满足一定尺寸精度和表 面粗糙度要求的方棒的全自动切磨一体复合加工设备 将方形硅单晶棒边角和平面进行磨削，最终加工出满足一定尺寸精度和表面粗糙度要求的 方棒加工设备 指 指 指 使用金刚线将方棒加工成满足指定厚度和精度要求的切片加工设备 指 指 由高纯二氧化硅石英砂，通过模具定型，使用电弧法高温制作，主要使用于半导体与太阳 能拉制单晶硅棒的辅助性耗材",0,0,0,0,0,0,0,0,0,0,0,0,0
